"Program","Year","Period","Week Ending","State","State ANSI","Fruit","ORGANIC","Organic detail","Category","Chemical","Amount","Value","CV (%)"
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","(NEEM OIL, CLAR. HYD. = 25007)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","(NOVALURON = 124002)",0.232,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","(PIPERONYL BUTOXIDE = 67501)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","(PYRETHRINS = 69001)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","(PYRIDABEN = 129105)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","(SPINETORAM = 110007)",0.125,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","(SPINOSAD = 110003)",0.173,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","(THIAMETHOXAM = 60109)",0.092,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","(ACIBENZOLAR-S-METHYL = 61402)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","(CAPSICUM OLEORESIN EXTRACT = 70704)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","(CHLOROPICRIN = 81501)",442.413,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","(DICHLOROPROPENE = 29001)",131.091,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","(FLUTRIAFOL = 128940)",0.218,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","(GARLIC OIL = 128827)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","(HYDROGEN PEROXIDE = 595)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","(IRON PHOSPHATE = 34903)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","(METALDEHYDE = 53001)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","(METAM-POTASSIUM = 39002)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","(METAM-SODIUM = 39003)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","(PEROXYACETIC ACID = 63201)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","(PSEUDOMONAS CHLORORAPHIS STRAIN AFS009 = 6800)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","(REYNOUTRIA SACHALINE = 55809)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","FERTILIZER","(NITROGEN)",165,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","FERTILIZER","(PHOSPHATE)",88,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","FERTILIZER","(POTASH)",141,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","FERTILIZER","(SULFUR)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(AZOXYSTROBIN = 128810)",1.4,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(BACILLUS SUBTILIS = 6479)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(BLAD = 30006)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(BORAX DECAHYDRATE = 11102)",2.2,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(BOSCALID = 128008)",2.5,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(BT SUBSP KURSTAKI EVB-113-19 = 6544)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(CAPTAN = 81301)",9.4,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(CYFLUFENAMID = 555550)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(CYPRODINIL = 288202)",2.8,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(DIFENOCONAZOLE = 128847)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(FENHEXAMID = 90209)",1.1,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(FLUDIOXONIL = 71503)",2.8,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(FLUOPYRAM = 80302)",3.3,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(FLUXAPYROXAD = 138009)",1.8,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(FOSETYL-AL = 123301)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(ISOFETAMID = 270000)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(MEFENOXAM = 113502)",1.5,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(MONO-POTASSIUM SALT = 76416)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(MYCLOBUTANIL = 128857)",5.2,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(PENTHIOPYRAD = 90112)",1.8,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(POLYOXIN D ZINC SALT = 230000)",1.8,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(PROPICONAZOLE = 122101)",1.6,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(PYDIFLUMETOFEN = 90110)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(PYRACLOSTROBIN = 99100)",2.1,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(PYRIMETHANIL = 288201)",1.6,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(QUINOLINE = 55459)",2,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(SULFUR = 77501)",7.1,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(TETRACONAZOLE = 120603)",1.6,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(THIOPHANATE-METHYL = 102001)",2.4,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(THIRAM = 79801)",4,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(TRIFLOXYSTROBIN = 129112)",3.3,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","(TRIFLUMIZOLE = 128879)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","(CARFENTRAZONE-ETHYL = 128712)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","(FLUMIOXAZIN = 129034)",4.1,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","(OXYFLUORFEN = 111601)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","(PENDIMETHALIN = 108501)",6.4,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(ABAMECTIN = 122804)",1.3,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(ACEQUINOCYL = 6329)",2.2,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(ACETAMIPRID = 99050)",1.4,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(AZADIRACHTIN = 121701)",3.8,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(BEAUVERIA BASSIANA = 128924)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(BIFENAZATE = 586)",2.2,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(BIFENTHRIN = 128825)",1.5,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(BT KURSTAK ABTS-1857 = 6523)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(BT KURSTAKI ABTS-351 = 6522)",1.5,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(BT KURSTAKI SA-11 = 6519)",3.1,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(CANOLA OIL = 11332)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(CHLORANTRANILIPROLE = 90100)",2.5,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(CYANTRANILIPROLE = 90098)",2.1,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(CYFLUMETOFEN = 138831)",2.2,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(ETOXAZOLE = 107091)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(FENBUTATIN-OXIDE = 104601)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(FENPROPATHRIN = 127901)",1.3,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(FENPYROXIMATE = 129131)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(FLONICAMID = 128016)",2.3,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(FLUPYRADIFURONE = 122304)",1.7,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(HEXYTHIAZOX = 128849)",1.2,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(IMIDACLOPRID = 129099)",1.1,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(LAMBDA-CYHALOTHRIN = 128897)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(MALATHION = 57701)",1.3,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(METHOXYFENOZIDE = 121027)",1.6,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(NALED = 34401)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(NEEM OIL = 25006)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(NEEM OIL, CLAR. HYD. = 25007)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(NOVALURON = 124002)",3,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(PIPERONYL BUTOXIDE = 67501)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(PYRETHRINS = 69001)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(PYRIDABEN = 129105)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(SPINETORAM = 110007)",1.8,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(SPINOSAD = 110003)",1.8,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","(THIAMETHOXAM = 60109)",1.5,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, OTHER","(ACIBENZOLAR-S-METHYL = 61402)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, OTHER","(CAPSICUM OLEORESIN EXTRACT = 70704)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, OTHER","(CHLOROPICRIN = 81501)",2.3,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, OTHER","(DICHLOROPROPENE = 29001)",1.2,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, OTHER","(FLUTRIAFOL = 128940)",1.9,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, OTHER","(GARLIC OIL = 128827)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, OTHER","(HYDROGEN PEROXIDE = 595)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, OTHER","(IRON PHOSPHATE = 34903)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, OTHER","(METALDEHYDE = 53001)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, OTHER","(METAM-POTASSIUM = 39002)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, OTHER","(METAM-SODIUM = 39003)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, OTHER","(PEROXYACETIC ACID = 63201)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, OTHER","(PSEUDOMONAS CHLORORAPHIS STRAIN AFS009 = 6800)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, OTHER","(REYNOUTRIA SACHALINE = 55809)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","FERTILIZER","(NITROGEN)",12.6,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","FERTILIZER","(PHOSPHATE)",8.6,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","FERTILIZER","(POTASH)",10.5,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","FERTILIZER","(SULFUR)",NA,NA
"SURVEY",2023,"YEAR",NA,"CALIFORNIA","06","STRAWBERRIES","BEARING",NA,"TREATED, MEASURED IN PCT OF AREA BEARING, AVG","CHEMICAL, FUNGICIDE","(AZOXYSTROBIN = 128810)",24,NA
